scenario,proportion,method,predictor,seed,top1_acc,top3_acc,top5_acc
MAR,0.1,DiffPuter,knn,0,0.30434782608695654,0.7,0.8630434782608696
MAR,0.1,DiffPuter,mlp,0,0.0891304347826087,0.16521739130434782,0.24130434782608695
MAR,0.1,GRAPE,knn,0,0.3,0.6978260869565217,0.8630434782608696
MAR,0.1,GRAPE,mlp,0,0.08478260869565217,0.17608695652173914,0.24565217391304348
MAR,0.3,DropMissing,knn,0,,,
MAR,0.3,DropMissing,mlp,0,,,
MAR,0.3,Mean,knn,0,0.30869565217391304,0.6652173913043479,0.8173913043478261
MAR,0.3,Mean,mlp,0,0.0782608695652174,0.1565217391304348,0.24347826086956523
MAR,0.3,kNN,knn,0,0.30434782608695654,0.6847826086956522,0.841304347826087
MAR,0.3,kNN,mlp,0,0.09130434782608696,0.18695652173913044,0.2717391304347826
MAR,0.3,MICE,knn,0,0.29130434782608694,0.7086956521739131,0.85
MAR,0.3,MICE,mlp,0,0.08478260869565217,0.1826086956521739,0.25869565217391305
MAR,0.3,SoftImpute,knn,0,0.30217391304347824,0.6869565217391305,0.85
MAR,0.3,SoftImpute,mlp,0,0.0891304347826087,0.20434782608695654,0.29347826086956524
MAR,0.3,HyperImpute,knn,0,0.30869565217391304,0.7130434782608696,0.8543478260869565
MAR,0.3,HyperImpute,mlp,0,0.08260869565217391,0.17608695652173914,0.24565217391304348
MAR,0.3,DiffPuter,knn,0,0.31521739130434784,0.7108695652173913,0.8652173913043478
MAR,0.3,DiffPuter,mlp,0,0.0891304347826087,0.20217391304347826,0.28695652173913044
MAR,0.3,GRAPE,knn,0,0.3108695652173913,0.6673913043478261,0.8217391304347826
MAR,0.3,GRAPE,mlp,0,0.08043478260869565,0.16521739130434782,0.28043478260869564
MAR,0.5,DropMissing,knn,0,,,
MAR,0.5,DropMissing,mlp,0,,,
MAR,0.5,Mean,knn,0,0.25217391304347825,0.6,0.7478260869565218
MAR,0.5,Mean,mlp,0,0.06086956521739131,0.14782608695652175,0.22608695652173913
MAR,0.5,kNN,knn,0,0.27391304347826084,0.6347826086956522,0.7739130434782608
MAR,0.5,kNN,mlp,0,0.07391304347826087,0.17173913043478262,0.24347826086956523
MAR,0.5,MICE,knn,0,0.2826086956521739,0.6282608695652174,0.7804347826086957
MAR,0.5,MICE,mlp,0,0.05434782608695652,0.18043478260869567,0.26304347826086955
MAR,0.5,SoftImpute,knn,0,0.2608695652173913,0.6347826086956522,0.7717391304347826
MAR,0.5,SoftImpute,mlp,0,0.06521739130434782,0.15869565217391304,0.2608695652173913
MAR,0.5,HyperImpute,knn,0,0.26956521739130435,0.6652173913043479,0.8239130434782609
MAR,0.5,HyperImpute,mlp,0,0.08043478260869565,0.1826086956521739,0.26521739130434785
MAR,0.5,DiffPuter,knn,0,0.30217391304347824,0.6652173913043479,0.7673913043478261
MAR,0.5,DiffPuter,mlp,0,0.06956521739130435,0.20869565217391303,0.2782608695652174
MAR,0.5,GRAPE,knn,0,0.26521739130434785,0.6086956521739131,0.7760869565217391
MAR,0.5,GRAPE,mlp,0,0.06956521739130435,0.20869565217391303,0.30869565217391304
MNAR,0.1,DropMissing,knn,0,0.10652173913043478,0.13043478260869565,0.17608695652173914
MNAR,0.1,DropMissing,mlp,0,0.05434782608695652,0.09347826086956522,0.13043478260869565
MNAR,0.1,Mean,knn,0,0.2326086956521739,0.5195652173913043,0.7152173913043478
MNAR,0.1,Mean,mlp,0,0.05652173913043478,0.14782608695652175,0.24130434782608695
MNAR,0.1,kNN,knn,0,0.2717391304347826,0.6086956521739131,0.7717391304347826
MNAR,0.1,kNN,mlp,0,0.06304347826086956,0.15,0.2673913043478261
MNAR,0.1,MICE,knn,0,0.26956521739130435,0.6478260869565218,0.8108695652173913
MNAR,0.1,MICE,mlp,0,0.06086956521739131,0.16521739130434782,0.26521739130434785
MNAR,0.1,SoftImpute,knn,0,0.23478260869565218,0.5239130434782608,0.7217391304347827
MNAR,0.1,SoftImpute,mlp,0,0.05217391304347826,0.13478260869565217,0.25217391304347825
MNAR,0.1,HyperImpute,knn,0,0.31956521739130433,0.6826086956521739,0.8391304347826087
MNAR,0.1,HyperImpute,mlp,0,0.05434782608695652,0.14130434782608695,0.2391304347826087
MNAR,0.1,DiffPuter,knn,0,0.24130434782608695,0.558695652173913,0.7608695652173914
MNAR,0.1,DiffPuter,mlp,0,0.02608695652173913,0.1391304347826087,0.23478260869565218
MNAR,0.1,GRAPE,knn,0,0.2826086956521739,0.6152173913043478,0.7913043478260869
MNAR,0.1,GRAPE,mlp,0,0.05,0.13043478260869565,0.22826086956521738
MNAR,0.3,DropMissing,knn,0,,,
MNAR,0.3,DropMissing,mlp,0,,,
MNAR,0.3,Mean,knn,0,0.11304347826086956,0.33043478260869563,0.49782608695652175
MNAR,0.3,Mean,mlp,0,0.05217391304347826,0.1108695652173913,0.20869565217391303
MNAR,0.3,kNN,knn,0,0.18043478260869567,0.4717391304347826,0.6130434782608696
MNAR,0.3,kNN,mlp,0,0.0391304347826087,0.1108695652173913,0.1826086956521739
MNAR,0.3,MICE,knn,0,0.12608695652173912,0.34347826086956523,0.5130434782608696
MNAR,0.3,MICE,mlp,0,0.041304347826086954,0.09565217391304348,0.1826086956521739
MNAR,0.3,SoftImpute,knn,0,0.10434782608695652,0.3347826086956522,0.5108695652173914
MNAR,0.3,SoftImpute,mlp,0,0.0391304347826087,0.09347826086956522,0.2
MNAR,0.3,HyperImpute,knn,0,0.21956521739130436,0.55,0.7217391304347827
MNAR,0.3,HyperImpute,mlp,0,0.017391304347826087,0.09130434782608696,0.14130434782608695
MNAR,0.3,DiffPuter,knn,0,0.21304347826086956,0.46956521739130436,0.591304347826087
MNAR,0.3,DiffPuter,mlp,0,0.041304347826086954,0.09347826086956522,0.14347826086956522
