mechanism,proportion,method,n_folds,cached,secs,n_runs,top1_acc,top1_acc_std,top2_acc,top2_acc_std,top3_acc,top3_acc_std,top4_acc,top4_acc_std,top5_acc,top5_acc_std
MCAR-Row,0.5,knn,True,3,52.8,9,0.47717416142944225,0.014943244498814396,0.7169643578980182,0.012362242571192984,0.8224620289595646,0.009997851922222547,0.8852177918290249,0.012759545974936547,0.9171543671395873,0.012863792487547498
MCAR,0.1,softimpute,True,3,49.6,9,0.47655876368178673,0.018354737370211642,0.7211978492542647,0.02012831420089567,0.8254088896135582,0.011595385497460956,0.8930054606081508,0.010190662678232333,0.9258537098266183,0.010985644087093342
MCAR,0.3,softimpute,True,3,46.7,9,0.4736506224709932,0.02067172462123906,0.7131728260809006,0.014247910469308967,0.8268406888751549,0.00886100319596009,0.8860342952395039,0.008884618479825518,0.9188952114015012,0.011537067559744993
MCAR,0.5,softimpute,True,3,46.3,9,0.4423914848819092,0.0312994842042289,0.6721363961089319,0.031337878416384475,0.7974757561669767,0.02044132240374133,0.8607025243015455,0.014378387819171815,0.9011541505579381,0.015193173883344216
MAR,0.1,softimpute,True,3,46.4,9,0.48125749452292765,0.02279831519460692,0.7231006759971452,0.01756469721441779,0.8288920950429692,0.01169232129730024,0.8962116431102038,0.010671525459772874,0.9279659047879919,0.015523885856924916
MAR,0.3,softimpute,True,3,46.1,9,0.4692066674774453,0.025819345728724036,0.7080698752739588,0.01830791192820483,0.8213783579158482,0.014038441840729039,0.8820473393913567,0.011698438481345786,0.9181968619289417,0.01352985817035909
MAR,0.5,softimpute,True,3,46.4,9,0.4300644332020418,0.029686902156416284,0.6408212013993743,0.03744657477745262,0.7810687111426289,0.04111095718626359,0.8525552357084052,0.02631717884485222,0.8965486298539148,0.02220301348170151
MNAR,0.1,softimpute,True,3,46.5,9,0.4769590896112048,0.02148787393588494,0.7191666853735553,0.01915844927279649,0.8268658986495012,0.01191054444817111,0.8913505130176047,0.007346157504353555,0.9246715992807177,0.012219240982887241
MNAR,0.3,softimpute,True,3,46.1,9,0.46724731831552874,0.0185899524866871,0.7093513032953784,0.015675416317816014,0.8219207611292575,0.010157201726698014,0.8872433806907607,0.010712401251449469,0.9190016208015768,0.013307417630755226
MNAR,0.5,softimpute,True,3,46.8,9,0.4224420466885939,0.041014161345645075,0.6614523214725154,0.02599084291220784,0.7873904608341166,0.022153747918877923,0.8608369995577281,0.015724026280574566,0.9032859358423332,0.01520355298995927
MCAR-Row,0.1,softimpute,True,3,47.0,9,0.4692550245210667,0.021371399728982853,0.6997896772306282,0.02357763021818138,0.7980747215154903,0.016009260311994216,0.8627926896286282,0.008641348887383878,0.9036923246778008,0.011313354780410038
MCAR-Row,0.3,softimpute,True,3,47.7,9,0.34299637077919015,0.032871688744812604,0.567504911025265,0.03286787182123148,0.7249284279525904,0.045017544986728275,0.8099585050117787,0.039238604257217966,0.8638608329307708,0.03826676880043399
MCAR-Row,0.5,softimpute,True,3,49.4,9,0.21257460342286405,0.03713015723885061,0.507645962468035,0.0670149580329031,0.6765740935876954,0.09578971257852222,0.7688709868959303,0.10072948749331652,0.8303252257857552,0.0863494078732487
MCAR,0.1,mice,True,1,351.7,3,0.5101375499552665,0.035496144239344975,0.7382185938328011,0.024783039270991243,0.8395854416690881,0.010887146833795302,0.897154860730089,0.011378215642547691,0.9325559513267739,0.009088461593844214
