mechanism,proportion,method,cached,n_folds,secs,n_runs,top1_acc,top1_acc_std,top2_acc,top2_acc_std,top3_acc,top3_acc_std,top4_acc,top4_acc_std,top5_acc,top5_acc_std
MCAR,0.1,knn,True,3,73.4,9,0.3907145855801053,0.0302379101871497,0.6090899862103787,0.0279951499120057,0.7522074040381093,0.0281135492555747,0.8354438356563025,0.0324346336785295,0.8775067104912924,0.0312724396077286
MCAR,0.3,knn,True,3,76.9,9,0.378887853068675,0.0324306630770807,0.5931079894179763,0.0398191466428662,0.7317965068879599,0.0356452761580513,0.8151591978246004,0.0368465600862366,0.8706195875276088,0.0326939690731822
MCAR,0.5,knn,True,3,76.6,9,0.3470563093543802,0.0262928450673055,0.5512600115085123,0.0286271680804162,0.6912640052464839,0.0283137783464399,0.7814561666376428,0.0299856379409007,0.8402383357804651,0.0274418283896302
MAR,0.1,knn,True,3,70.7,9,0.3867991248412747,0.0342398048428182,0.6094941573274395,0.0401361327571909,0.7497436850276654,0.0412993565099374,0.8319674422540229,0.0340784277651506,0.8796506953128941,0.0316038764051206
MAR,0.3,knn,True,3,76.2,9,0.3710429992695198,0.0268645891947032,0.5766520710343569,0.0357732109823862,0.7206065152875207,0.0360122034809013,0.811044730757897,0.0341796749444921,0.8693395290771854,0.0302194494570177
MAR,0.5,knn,True,3,77.3,9,0.3280106651713682,0.0268492611696718,0.5341138448419187,0.0269818877209319,0.6711628761332334,0.0280525163333957,0.7672909477771446,0.0385354788106145,0.830957127272691,0.0352818643521397
MNAR,0.1,knn,True,3,74.3,9,0.3926471165665461,0.0336771036712463,0.6124251578597195,0.040624344039874,0.7505206945963917,0.0400083432762012,0.8331272779024735,0.0366887850811282,0.8825609494237061,0.0352154237805262
MNAR,0.3,knn,True,3,76.9,9,0.3816021943996823,0.0266667506041037,0.58973157251816,0.0273369661938487,0.7286295890030723,0.0322046550797021,0.8159690517797858,0.0339743370198828,0.8701483763703041,0.0331806458739633
MNAR,0.5,knn,True,3,78.7,9,0.3253870098245439,0.0222107548006628,0.531026911170595,0.0230027428320593,0.67050022194356,0.022197559050604,0.7715926191821632,0.023488765648206,0.841737606868262,0.0252923566993561
MCAR-Row,0.1,knn,True,3,73.5,9,0.395184978780788,0.0304557374456628,0.611111408814508,0.0334839157266646,0.7479664636323575,0.0322581972647191,0.8342261919819871,0.0298373369818358,0.8798673930230638,0.0290565871189485
MCAR-Row,0.3,knn,True,3,74.5,9,0.3786369582236091,0.0259832975387603,0.5876752386365744,0.0296058974189115,0.7254891679547696,0.0327344319130784,0.8135326792701824,0.0298918350474607,0.8630134185377636,0.0263215231920266
MCAR-Row,0.5,knn,True,3,78.5,9,0.3488836184822373,0.0180794885734686,0.5336749315409564,0.0121771634059386,0.6806986365970399,0.0162914993776982,0.7803973341487267,0.0129485512418997,0.8312166355212631,0.0127480904241527
MCAR,0.1,softimpute,True,3,82.5,9,0.3824904087766033,0.0310579965507001,0.6036595963205922,0.0443501628108918,0.7426543987471015,0.0383309697607255,0.8248084839982083,0.038913434141563,0.877014635904717,0.0315387047895857
MCAR,0.3,softimpute,True,3,72.6,9,0.3803124023318097,0.030131110222077,0.5934274710773201,0.0357389943862599,0.7336325429711994,0.0378209454868789,0.8197018949355401,0.0353274778115303,0.8722995798821511,0.034392675992921
MCAR,0.5,softimpute,True,3,76.4,9,0.3601398974714636,0.033506190509488,0.5719453758857989,0.0355577642335517,0.7099557766096588,0.0397256382733892,0.8016337398612937,0.0359571993377271,0.8581052371870996,0.0305412014353004
MAR,0.1,softimpute,True,3,74.2,9,0.3782781291112321,0.0378860799671948,0.5978137349272573,0.0369487367877496,0.7412192447261463,0.0333541539144634,0.8302286737204461,0.0312695579032803,0.8807592260020543,0.0279851034248748
MAR,0.3,softimpute,True,3,76.9,9,0.3572103866904278,0.0422198528470802,0.5762531837823133,0.0464403568720759,0.7167354518511351,0.0443404423196184,0.8172302416111794,0.0356580643152522,0.8699155189939052,0.0305243919057409
MAR,0.5,softimpute,True,3,81.0,9,0.3253065590608802,0.042833872805255,0.5304843072334129,0.0428324967923364,0.6709514422930768,0.0415653221422931,0.7661374796735724,0.0307524848190789,0.8356938978698943,0.0283677202732894
MNAR,0.1,softimpute,True,3,76.4,9,0.3984381514113197,0.0327600369027951,0.6209127305824387,0.0384560186522892,0.7538357418910642,0.0380398496385291,0.8311475821568856,0.0334911666813821,0.8807989780453589,0.0320940779090315
MNAR,0.3,softimpute,True,3,79.0,9,0.3629136721012753,0.0332107390409569,0.5757777104800241,0.0412878979621095,0.7242474653532788,0.0430823151056547,0.8098437868617778,0.0454538702738975,0.8640340657524133,0.0395069224226911
MNAR,0.5,softimpute,True,3,78.7,9,0.3355249859982637,0.0410329643013046,0.5497431660462211,0.037151394290875,0.6966231144271577,0.0480711319540583,0.7893744245659938,0.0468911860886349,0.8529042800972397,0.0414011278400834
MCAR-Row,0.1,softimpute,True,3,84.7,9,0.3822259276964136,0.0266706717584346,0.5808317003388661,0.0284361153438816,0.7070399675904383,0.0278621209158882,0.7911485124232249,0.0295378343735335,0.8491257068856076,0.0292812705092824
MCAR-Row,0.3,softimpute,True,3,77.8,9,0.1621975886929315,0.0358134199544639,0.4032563594392493,0.0418305093781413,0.5887819300321935,0.0549865206352083,0.7173810537580926,0.0461093429506757,0.7986414867316726,0.0334266722667224
MCAR-Row,0.5,softimpute,True,3,81.6,9,0.0393382548375281,0.0139122358026268,0.2581667442393839,0.1344055884657496,0.396382575858785,0.2084632209443738,0.4943269238315303,0.2493139720510619,0.5649178080121201,0.2647898646279873
MCAR,0.1,mice,True,1,274.6,3,0.400234387120228,0.0173189139107676,0.6284594242262157,0.0234228914258542,0.7552166040322227,0.0146429443641211,0.8532542124847465,0.0232230285273408,0.893650302983993,0.021567879530576
MCAR,0.3,mice,True,1,172.2,3,0.3882496162048389,0.0116314570642087,0.6122703886114141,0.0330771663347045,0.7575740209460696,0.0225128371723074,0.8559503879630723,0.0277433218620703,0.8964711684739193,0.0128197149069948
MCAR,0.5,mice,True,1,174.9,3,0.3884566224636523,0.0143823394785078,0.6145219290019474,0.0453484897684815,0.7450105471309719,0.0419808955424397,0.8407942417990557,0.0404114926300425,0.8968970479610809,0.0283673278047181
MAR,0.1,mice,True,1,355.2,3,0.3872850341884498,0.0163346014214602,0.6210836685028632,0.0241889027416197,0.7755040857107794,0.0335046997736838,0.8581925505532902,0.031147245334689,0.8994779691157776,0.0234439977332966
MAR,0.3,mice,True,1,227.0,3,0.3870074049889898,0.0131306990211265,0.6109552389486675,0.0294429681424407,0.7525392420421838,0.0262184717307241,0.8445068087461302,0.0285108168371434,0.8995038448981294,0.0145051290984476
MAR,0.5,mice,True,1,154.1,3,0.3546810853240898,0.0145769199395644,0.556162835661575,0.0383226084873167,0.6915097911181811,0.0313774689038957,0.8119334824519359,0.0269180746481174,0.88182084465037,0.0133787425555187
MNAR,0.1,mice,True,1,335.9,3,0.3915481706342866,0.0187518767812239,0.6204320271562573,0.0393126352850063,0.7598138680300367,0.035562343151679,0.8516779316045765,0.037612310852742,0.8913799491051727,0.027968297862095
MNAR,0.3,mice,True,1,181.5,3,0.3790881999485957,0.0255269173782603,0.614750180030611,0.0346403395659701,0.7639875680469399,0.0337088906977532,0.8524331339682453,0.0316504966246466,0.901889510988235,0.0234046251945238
MNAR,0.5,mice,True,1,154.7,3,0.3616357083480947,0.0056500770111513,0.5813768463267966,0.0205141599636188,0.7215962636991139,0.0278098217127196,0.8147261566532599,0.0280202103077683,0.875489729572025,0.0293196108651634
MCAR-Row,0.1,mice,True,1,289.6,3,0.3926233759618034,0.0231310267815725,0.5951614602508619,0.0213170286474142,0.7212928166049585,0.0359189309826615,0.8096584396729579,0.0315194944769019,0.8698714430929607,0.0283430581510526
MCAR-Row,0.3,mice,True,1,309.8,3,0.1816836509050156,0.0075985928237316,0.4035023189795101,0.0234725972693094,0.598968210414684,0.0351833562267043,0.7435612717686532,0.0195571742248152,0.8454525772742324,0.0072637438816631
MCAR-Row,0.5,mice,True,1,332.4,3,0.0477319037397741,0.0140696309171793,0.386602712384022,0.0203194393733434,0.5754480504595122,0.0204374059757413,0.7082587161444042,0.0302633454256571,0.8128438816220583,0.0173646452908763
MCAR,0.1,hyperimpute,True,1,406.1,3,0.3928256354328028,0.0020404698554148,0.6305650877229543,0.0245506735290482,0.77784500464259,0.0264263261957785,0.8693538116706145,0.0233314525812372,0.9070584155916928,0.0211592804627739
MCAR,0.3,hyperimpute,True,1,314.9,3,0.4024835541168543,0.0124675642032491,0.6250574245550174,0.0365690496464584,0.7680271423642707,0.0333789879902654,0.8445444936103605,0.0371519408682342,0.8930080394377025,0.0373519817891721
MCAR,0.5,hyperimpute,True,1,281.8,3,0.381537368797627,0.0259611354892229,0.6004762996357709,0.0384679653236185,0.7499677565754589,0.0423156236723311,0.8358535882242614,0.037476506917285,0.8867945520768933,0.0354574876733107
MAR,0.1,hyperimpute,True,1,421.5,3,0.3959053745215585,0.0184739235518379,0.6316732311268874,0.0314067426126076,0.7747159452706942,0.0406458012642258,0.8624298112167753,0.0317490102517825,0.9006119883020623,0.0215124423678535
MAR,0.3,hyperimpute,True,1,403.1,3,0.3871132815123035,0.0159071472375802,0.6255938115779943,0.0181960470472453,0.766401425425648,0.0291494807991992,0.8500569035661112,0.0352776959541674,0.8915917021518,0.0338526880371522
MAR,0.5,hyperimpute,True,1,264.5,3,0.372702902023984,0.0125958720381322,0.59579197260293,0.0293655303062596,0.7344162377191337,0.0252533533722436,0.8125193055333653,0.0265073375954245,0.8695750004052135,0.0415176243281035
MNAR,0.1,hyperimpute,True,1,398.7,3,0.3931032646322629,0.0049830861615733,0.6206954738799317,0.0188319952324633,0.7549837219910577,0.0273104534541653,0.8392297121131079,0.0317544788468722,0.8839077525464779,0.0381516001116079
MNAR,0.3,hyperimpute,True,1,419.8,3,0.3963453207091933,0.0097407322855204,0.6289087482141658,0.0213432883902692,0.7731936735738217,0.0271850574687494,0.8662552590935718,0.0269304696415569,0.910954486409136,0.0210261487328941
MNAR,0.5,hyperimpute,True,1,307.1,3,0.3936632119313406,0.0141727414072711,0.622648198188811,0.0360115360173105,0.7553836678082112,0.0407758688139937,0.8398531621711113,0.030698503733624,0.8905564971947642,0.0313156642721251
MCAR-Row,0.1,hyperimpute,True,1,354.2,3,0.4001402617911367,0.0149728467758932,0.6051440129112629,0.0115932912766363,0.760696075911557,0.0147182447379848,0.8363664149711373,0.0219911661457554,0.880792701987399,0.0182677174049698
MCAR-Row,0.3,hyperimpute,True,1,298.4,3,0.3016956452273943,0.044459808968148,0.4796055419326604,0.0330367146201643,0.6275465937745299,0.0435535919275289,0.7352161872410975,0.0350658784463904,0.8105947725130885,0.0318317176290467
